feature,bins,window_size,mean,p50,p95,max,share_over_warn,share_over_alert
score,10,200,0.045706756614906544,0.0427216158236665,0.08421441628811085,0.13362883386770966,0.02,0.0
score,10,500,0.018575232616437107,0.01707317426467362,0.0346532032240903,0.05918781069247156,0.0,0.0
score,10,1000,0.009013822515634796,0.008510351767666803,0.017117650485578572,0.027680934488702957,0.0,0.0
score,10,2000,0.004554126844924894,0.004168175245845529,0.008652691834415535,0.014110584263059752,0.0,0.0
score,10,5000,0.0018280000978572297,0.0017013326518514088,0.0034384337090282704,0.004567461549035075,0.0,0.0
band,3,100,0.022374846580013548,0.015811536979216875,0.06298862097962549,0.149688167745262,0.012,0.0
band,3,200,0.011064775586050481,0.008193326775309206,0.029129025677941355,0.09981731388683722,0.0,0.0
band,3,500,0.003991497575195352,0.0026909236467841475,0.01177048471709853,0.02227554873660886,0.0,0.0
band,3,1000,0.0020000210895655527,0.0013582591025977798,0.006006941447415315,0.013879484437932438,0.0,0.0
band,3,2000,0.001039140089810541,0.0006902622311875216,0.00316385910345985,0.010467457811196,0.0,0.0
band,3,5000,0.0004146683692082173,0.0002651226866824375,0.00131197484470211,0.0027705836549138142,0.0,0.0
