feature,bin_index,bin,count,bads,bad_rate,population_share,woe,iv,points
EXT_SOURCE_2,2,"(0.2144, 0.2782]",10739,1341,0.12487196200763571,0.049889202209451956,0.4781153438004757,0.31582526532224453,26.6
EXT_SOURCE_2,3,"(0.2782, 0.3386]",10739,1224,0.11397709283918428,0.049889202209451956,0.37448760442658746,0.31582526532224453,28.9
EXT_SOURCE_2,4,"(0.3386, 0.3913]",10739,1160,0.10801750628550144,0.049889202209451956,0.3141026031698916,0.31582526532224453,30.2
EXT_SOURCE_2,5,"(0.3913, 0.4393]",10739,1004,0.09349101406089952,0.049889202209451956,0.15358796169076033,0.31582526532224453,33.7
EXT_SOURCE_2,6,"(0.4393, 0.478]",10738,946,0.08809834233563048,0.04988455659978537,0.08827596010083802,0.31582526532224453,35.2
EXT_SOURCE_2,7,"(0.478, 0.5113]",10739,833,0.0775677437377782,0.049889202209451956,-0.05043562915201783,0.31582526532224453,38.3
EXT_SOURCE_2,8,"(0.5113, 0.5405]",10739,810,0.07542601732004842,0.049889202209451956,-0.0807370071370417,0.31582526532224453,38.9
EXT_SOURCE_2,9,"(0.5405, 0.5656]",10738,783,0.0729186068169119,0.04988455659978537,-0.11723232446656683,0.31582526532224453,39.7
EXT_SOURCE_2,10,"(0.5656, 0.5881]",10740,735,0.06843575418994413,0.04989384781911854,-0.18546262574867908,0.31582526532224453,41.2
EXT_SOURCE_2,11,"(0.5881, 0.6083]",10737,723,0.06733724504051411,0.049879910990118785,-0.20281172067830164,0.31582526532224453,41.6
EXT_SOURCE_2,12,"(0.6083, 0.6276]",10740,669,0.062290502793296086,0.04989384781911854,-0.28605671179580455,0.31582526532224453,43.5
EXT_SOURCE_2,13,"(0.6276, 0.646]",10740,612,0.05698324022346369,0.04989384781911854,-0.3806825138435319,0.31582526532224453,45.6
EXT_SOURCE_2,14,"(0.646, 0.6637]",10737,550,0.051224736891124154,0.049879910990118785,-0.4932127463949365,0.31582526532224453,48.1
EXT_SOURCE_2,15,"(0.6637, 0.7007]",21481,995,0.046320003724221404,0.09979234124790366,-0.5993992331149756,0.31582526532224453,50.4
EXT_SOURCE_2,16,"(0.7007, 0.722]",10739,431,0.040134090697457867,0.049889202209451956,-0.7485795110956931,0.31582526532224453,53.7
EXT_SOURCE_2,17,"(0.722, 0.7477]",10738,345,0.03212888806109145,0.04988455659978537,-0.9790661915363743,0.31582526532224453,58.8
EXT_SOURCE_2,18,"(0.7477, inf]",10741,304,0.028302765105669862,0.04989849342878513,-1.1096122270177122,0.31582526532224453,61.7
EXT_SOURCE_2,19,missing,475,41,0.0863157894736842,0.0022066645916276823,0.07637453752265279,0.31582526532224453,35.5
EXT_SOURCE_1,0,"(-inf, 0.2112]",9381,1642,0.17503464449419037,0.04358046428223008,0.8749938482911354,0.1468174072968093,24.2
EXT_SOURCE_1,1,"(0.2112, 0.2951]",9381,1080,0.11512631915574033,0.04358046428223008,0.3860991385454018,0.1468174072968093,31.4
EXT_SOURCE_1,2,"(0.2951, 0.3681]",9381,861,0.09178125999360409,0.04358046428223008,0.13355621536683893,0.1468174072968093,35.2
EXT_SOURCE_1,3,"(0.3681, 0.437]",9381,776,0.08272039228227268,0.04358046428223008,0.019751292825008385,0.1468174072968093,36.8
